Quantiy,Price
10000000,69.69985879635821
20000000,70.34327476452442
30000000,70.98581189030017
40000000,71.62747017368544
50000000,72.26824961468023
60000000,72.90815021328453
70000000,73.54717196949836
80000000,74.18531488332172
90000000,74.8225789547546
100000000,75.45896418379701
110000000,76.09447057044895
120000000,76.7290981147104
130000000,77.36284681658137
140000000,77.99571667606186
150000000,78.62770769315189
160000000,79.25881986785143
170000000,79.88905320016049
180000000,80.51840769007909
190000000,81.14688333760719
200000000,81.77448014274484
210000000,82.401198105492
220000000,83.02703722584867
230000000,83.65199750381488
240000000,84.27607893939062
250000000,84.89928153257586
260000000,85.52160528337063
270000000,86.14305019177493
280000000,86.76361625778875
290000000,87.3833034814121
300000000,88.00211186264497
310000000,88.62004140148737
320000000,89.23709209793928
330000000,89.85326395200072
340000000,90.46855696367169
350000000,91.08297113295217
360000000,91.69650645984217
370000000,92.3091629443417
380000000,92.92094058645075
390000000,93.53183938616934
400000000,94.14185934349743
410000000,94.75100045843506
420000000,95.35926273098221
430000000,95.96664616113887
440000000,96.57315074890506
450000000,97.17877649428078
460000000,97.78352339726602
470000000,98.38739145786079
480000000,98.99038067606507
490000000,99.59249105187888
500000000,100.19372258530221
510000000,100.79407527633506
520000000,101.39354912497745
530000000,101.99214413122935
540000000,102.58986029509077
550000000,103.18669761656172
560000000,103.78265609564218
570000000,104.37773573233218
580000000,104.97193652663171
590000000,105.56525847854076
600000000,106.1577015880593
610000000,106.74926585518739
620000000,107.339951279925
630000000,107.92975786227214
640000000,108.5186856022288
650000000,109.10673449979498
660000000,109.69390455497069
670000000,110.28019576775591
680000000,110.86560813815066
690000000,111.45014166615493
700000000,112.03379635176873
710000000,112.61657219499205
720000000,113.19846919582488
730000000,113.77948735426725
740000000,114.35962667031914
750000000,114.93888714398057
760000000,115.5172687752515
770000000,116.09477156413195
780000000,116.67139551062193
790000000,117.24714061472143
800000000,117.82200687643046
810000000,118.395994295749
820000000,118.9691028726771
830000000,119.54133260721468
840000000,120.11268349936182
850000000,120.68315554911845
860000000,121.25274875648462
870000000,121.82146312146031
880000000,122.38929864404552
890000000,122.95625532424026
900000000,123.52233316204453
910000000,124.08753215745831
920000000,124.65185231048162
930000000,125.21529362111444
940000000,125.77785608935679
950000000,126.33953971520867
960000000,126.90034449867008
970000000,127.46027043974098
980000000,128.01931753842143
990000000,128.5774857947114
1000000000,129.1347752086109
1010000000,129.69118578011992
1020000000,130.24671750923847
1030000000,130.80137039596653
1040000000,131.3551444403041
1050000000,131.9080396422512
1060000000,132.46005600180783
1070000000,133.01119351897398
1080000000,133.5614521937497
1090000000,134.11083202613486
1100000000,134.6593330161296
1110000000,135.20695516373385
1120000000,135.75369846894762
1130000000,136.2995629317709
1140000000,136.84454855220372
1150000000,137.38865533024608
1160000000,137.9318832658979
1170000000,138.47423235915932
1180000000,139.01570261003022
1190000000,139.55629401851064
1200000000,140.09600658460062
1210000000,140.63484030830008
1220000000,141.17279518960908
1230000000,141.70987122852762
1240000000,142.24606842505568
1250000000,142.78138677919324
1260000000,143.31582629094032
1270000000,143.84938696029695
1280000000,144.3820687872631
1290000000,144.91387177183876
1300000000,145.44479591402393
1310000000,145.97484121381865
1320000000,146.5040076712229
1330000000,147.03229528623666
1340000000,147.55970405885992
1350000000,148.08623398909273
1360000000,148.61188507693507
1370000000,149.1366573223869
1380000000,149.66055072544827
1390000000,150.18356528611918
1400000000,150.7057010043996
1410000000,151.22695788028955
1420000000,151.74733591378902
1430000000,152.266835104898
1440000000,152.78545545361652
1450000000,153.30319695994456
1460000000,153.82005962388212
1470000000,154.3360434454292
1480000000,154.8511484245858
1490000000,155.36537456135193
1500000000,155.87872185572758
1510000000,156.39119030771275
1520000000,156.90277991730744
1530000000,157.41349068451166
1540000000,157.9233226093254
1550000000,158.43227569174866
1560000000,158.94034993178147
1570000000,159.4475453294238
1580000000,159.95386188467563
1590000000,160.45929959753698
1600000000,160.96385846800786
1610000000,161.46753849608828
1620000000,161.9703396817782
1630000000,162.47226202507767
1640000000,162.97330552598663
1650000000,163.47347018450512
1660000000,163.97275600063315
1670000000,164.4711629743707
1680000000,164.96869110571777
1690000000,165.46534039467437
1700000000,165.9611108412405
1710000000,166.45600244541612
1720000000,166.95001520720126
1730000000,167.44314912659598
1740000000,167.93540420360017
1750000000,168.4267804382139
1760000000,168.91727783043717
1770000000,169.40689638026993
1780000000,169.89563608771223
1790000000,170.38349695276406
1800000000,170.8704789754254
1810000000,171.3565821556963
1820000000,171.84180649357668
1830000000,172.3261519890666
1840000000,172.80961864216601
1850000000,173.292206452875
1860000000,173.7739154211935
1870000000,174.2547455471215
1880000000,174.73469683065903
1890000000,175.2137692718061
1900000000,175.69196287056266
1910000000,176.16927762692876
1920000000,176.6457135409044
1930000000,177.12127061248952
1940000000,177.59594884168422
1950000000,178.06974822848844
1960000000,178.54266877290212
1970000000,179.01471047492538
1980000000,179.48587333455814
1990000000,179.9561573518004
2000000000,180.42556252665224
2010000000,180.8940888591136
2020000000,181.36173634918444
2030000000,181.8285049968648
2040000000,182.29439480215473
2050000000,182.75940576505414
2060000000,183.22353788556308
2070000000,183.68679116368156
2080000000,184.14916559940957
2090000000,184.6106611927471
2100000000,185.07127794369413
2110000000,185.5310158522507
2120000000,185.98987491841677
2130000000,186.4478551421924
2140000000,186.90495652357754
2150000000,187.3611790625722
2160000000,187.8165227591764
2170000000,188.2709876133901
2180000000,188.7245736252133
2190000000,189.17728079464607
2200000000,189.62910912168834
2210000000,190.08005860634015
2220000000,190.53012924860144
