x,y
250,50016495.481663704
251,49494369.07569349
252,48974318.724532366
253,48456327.98411727
254,47940380.604990125
255,47426460.52923989
256,46914551.88750279
257,46404638.9960233
258,45896706.3537699
259,45390738.63960779
260,44886720.70952594
261,44384637.59391761
262,43884474.49491227
263,43386216.78375876
264,42889849.998257756
265,42395359.84024358
266,41902732.17311227
267,41411953.0193969
268,40923008.558387995
269,40435885.12379801
270,39950569.20146954
271,39467047.42712569
272,38985306.58416176
273,38505333.601477504
274,38027115.55134928
275,37550639.647340536
276,37075893.24225116
277,36602863.82610154
278,36131539.02415669
279,35661906.59498215
280,35193954.42853737
281,34727670.544300914
282,34263043.08943105
283,33800060.336957455
284,33338710.684004903
285,32878982.65004933
286,32420864.875202894
287,31964346.118529677
288,31509415.256391525
289,31056061.280820727
290,30604273.297922492
291,30154040.52630365
292,29705352.295529604
293,29258198.04460621
294,28812567.32048893
295,28368449.77661574
296,27925835.171466827
297,27484713.367146492
298,27045074.327990532
299,26606908.119196057
300,26170204.905474424
301,25734954.949726343
302,25301148.611739755
303,24868776.34690845
304,24437828.704971313
305,24008296.328774452
306,23580169.953050494
307,23153440.403220654
308,22728098.59421432
309,22304135.529308558
310,21881542.29898691
311,21460310.079815388
312,21040430.133336544
313,20621893.804983497
314,20204692.523007512
315,19788817.797425985
316,19374261.218985677
317,18961014.458141804
318,18549069.2640543
319,18138417.463599443
320,17729050.96039641
321,17320961.733850002
322,16914141.838207483
323,16508583.401630402
324,16104278.625280261
325,15701219.782419443
326,15299399.217524529
327,14898809.345413804
328,14499442.650388718
329,14101291.685387492
330,13704349.071151376
331,13308607.49540484
332,12914059.7120471
333,12520698.540355563
334,12128516.86420238
335,11737507.631281495
336,11347663.85234797
337,10958978.600468278
338,10571445.010281682
339,10185056.277273059
340,9799805.657055259
341,9415686.464663982
342,9032692.073860168
343,8650815.916445374
344,8270051.481585503
345,7890392.315144539
346,7511832.019028783
347,7134364.250538945
348,6757982.721733093
349,6382681.198798418
